text,x,y,filename,color
478452.jpg,-4.477736,4.0150113,static/images/demo_images/acv_P-Antitus/478452.jpg/478452.jpg,5
478453.jpg,-4.5188217,3.921514,static/images/demo_images/acv_P-Antitus/478453.jpg/478453.jpg,5
478454.jpg,-4.520829,3.9426827,static/images/demo_images/acv_P-Antitus/478454.jpg/478454.jpg,5
478455.jpg,-4.5107784,3.981248,static/images/demo_images/acv_P-Antitus/478455.jpg/478455.jpg,5
478456.jpg,-4.46833,3.92291,static/images/demo_images/acv_P-Antitus/478456.jpg/478456.jpg,5
478457.jpg,-4.8227825,3.6773314,static/images/demo_images/acv_P-Antitus/478457.jpg/478457.jpg,-1
478458.jpg,-4.6285152,4.092034,static/images/demo_images/acv_P-Antitus/478458.jpg/478458.jpg,5
478459.jpg,-4.4600735,4.089784,static/images/demo_images/acv_P-Antitus/478459.jpg/478459.jpg,5
478460.jpg,-4.435391,4.1653233,static/images/demo_images/acv_P-Antitus/478460.jpg/478460.jpg,5
478461.jpg,-4.300093,4.6489806,static/images/demo_images/acv_P-Antitus/478461.jpg/478461.jpg,5
478462.jpg,-4.516228,4.339637,static/images/demo_images/acv_P-Antitus/478462.jpg/478462.jpg,5
478463.jpg,-4.5151176,4.3904734,static/images/demo_images/acv_P-Antitus/478463.jpg/478463.jpg,5
478464.jpg,-4.5065503,4.4558716,static/images/demo_images/acv_P-Antitus/478464.jpg/478464.jpg,5
478465.jpg,-4.482901,4.4106646,static/images/demo_images/acv_P-Antitus/478465.jpg/478465.jpg,5
478466.jpg,-4.45221,4.2022104,static/images/demo_images/acv_P-Antitus/478466.jpg/478466.jpg,5
478467.jpg,-4.262505,4.719297,static/images/demo_images/acv_P-Antitus/478467.jpg/478467.jpg,5
478468.jpg,-4.3317194,4.638349,static/images/demo_images/acv_P-Antitus/478468.jpg/478468.jpg,5
478469.jpg,-4.369822,4.399391,static/images/demo_images/acv_P-Antitus/478469.jpg/478469.jpg,5
478470.jpg,-4.3496146,4.702567,static/images/demo_images/acv_P-Antitus/478470.jpg/478470.jpg,5
478471.jpg,-4.328582,4.745562,static/images/demo_images/acv_P-Antitus/478471.jpg/478471.jpg,5
478472.jpg,-4.1674037,5.8599343,static/images/demo_images/acv_P-Antitus/478472.jpg/478472.jpg,4
478473.jpg,-4.170989,5.869399,static/images/demo_images/acv_P-Antitus/478473.jpg/478473.jpg,4
478474.jpg,-4.1960692,6.0329256,static/images/demo_images/acv_P-Antitus/478474.jpg/478474.jpg,4
478475.jpg,-4.215938,6.101125,static/images/demo_images/acv_P-Antitus/478475.jpg/478475.jpg,4
478476.jpg,-4.1094294,5.4612494,static/images/demo_images/acv_P-Antitus/478476.jpg/478476.jpg,4
478477.jpg,-4.3681974,6.964525,static/images/demo_images/acv_P-Antitus/478477.jpg/478477.jpg,3
478478.jpg,-4.349579,6.93278,static/images/demo_images/acv_P-Antitus/478478.jpg/478478.jpg,3
478479.jpg,-3.9420257,5.951556,static/images/demo_images/acv_P-Antitus/478479.jpg/478479.jpg,4
478480.jpg,-4.3606853,6.9297748,static/images/demo_images/acv_P-Antitus/478480.jpg/478480.jpg,3
478481.jpg,-4.3506556,6.918469,static/images/demo_images/acv_P-Antitus/478481.jpg/478481.jpg,3
478482.jpg,-3.8567457,6.180466,static/images/demo_images/acv_P-Antitus/478482.jpg/478482.jpg,4
478483.jpg,-4.1532645,5.994596,static/images/demo_images/acv_P-Antitus/478483.jpg/478483.jpg,4
478484.jpg,-3.795394,6.203066,static/images/demo_images/acv_P-Antitus/478484.jpg/478484.jpg,4
478485.jpg,-4.366094,6.9130483,static/images/demo_images/acv_P-Antitus/478485.jpg/478485.jpg,3
